period_end,air_temp,dni,ghi
2023-01-06 03:30:00+00:00,9,0,0
2023-01-06 04:00:00+00:00,9,0,0
2023-01-06 04:30:00+00:00,9,0,0
2023-01-06 05:00:00+00:00,9,0,0
2023-01-06 05:30:00+00:00,9,0,0
2023-01-06 06:00:00+00:00,9,0,0
2023-01-06 06:30:00+00:00,9,0,0
2023-01-06 07:00:00+00:00,9,0,2
2023-01-06 07:30:00+00:00,10,0,17
2023-01-06 08:00:00+00:00,10,0,35
2023-01-06 08:30:00+00:00,10,0,57
2023-01-06 09:00:00+00:00,11,0,75
2023-01-06 09:30:00+00:00,12,0,84
2023-01-06 10:00:00+00:00,13,0,88
2023-01-06 10:30:00+00:00,13,0,88
2023-01-06 11:00:00+00:00,14,0,118
2023-01-06 11:30:00+00:00,14,0,159
2023-01-06 12:00:00+00:00,14,0,192
2023-01-06 12:30:00+00:00,14,0,199
2023-01-06 13:00:00+00:00,15,0,132
2023-01-06 13:30:00+00:00,15,0,65
2023-01-06 14:00:00+00:00,15,0,69
2023-01-06 14:30:00+00:00,15,0,62
2023-01-06 15:00:00+00:00,15,0,42
2023-01-06 15:30:00+00:00,14,0,26
2023-01-06 16:00:00+00:00,14,0,4
2023-01-06 16:30:00+00:00,14,0,0
2023-01-06 17:00:00+00:00,13,0,0
2023-01-06 17:30:00+00:00,13,0,0
2023-01-06 18:00:00+00:00,13,0,0
2023-01-06 18:30:00+00:00,13,0,0
2023-01-06 19:00:00+00:00,12,0,0
2023-01-06 19:30:00+00:00,12,0,0
2023-01-06 20:00:00+00:00,12,0,0
2023-01-06 20:30:00+00:00,12,0,0
2023-01-06 21:00:00+00:00,11,0,0
2023-01-06 21:30:00+00:00,11,0,0
2023-01-06 22:00:00+00:00,11,0,0
2023-01-06 22:30:00+00:00,11,0,0
2023-01-06 23:00:00+00:00,11,0,0
2023-01-06 23:30:00+00:00,11,0,0
2023-01-07 00:00:00+00:00,10,0,0
2023-01-07 00:30:00+00:00,10,0,0
2023-01-07 01:00:00+00:00,10,0,0
2023-01-07 01:30:00+00:00,10,0,0
2023-01-07 02:00:00+00:00,10,0,0
2023-01-07 02:30:00+00:00,10,0,0
2023-01-07 03:00:00+00:00,10,0,0
2023-01-07 03:30:00+00:00,10,0,0
2023-01-07 04:00:00+00:00,10,0,0
2023-01-07 04:30:00+00:00,10,0,0
2023-01-07 05:00:00+00:00,10,0,0
2023-01-07 05:30:00+00:00,11,0,0
2023-01-07 06:00:00+00:00,11,0,0
2023-01-07 06:30:00+00:00,11,0,0
2023-01-07 07:00:00+00:00,11,0,2
2023-01-07 07:30:00+00:00,11,0,20
2023-01-07 08:00:00+00:00,11,0,50
2023-01-07 08:30:00+00:00,11,0,81
2023-01-07 09:00:00+00:00,12,0,103
2023-01-07 09:30:00+00:00,12,0,109
2023-01-07 10:00:00+00:00,13,0,98
2023-01-07 10:30:00+00:00,13,0,144
2023-01-07 11:00:00+00:00,13,0,164
2023-01-07 11:30:00+00:00,14,0,174
2023-01-07 12:00:00+00:00,14,0,163
2023-01-07 12:30:00+00:00,14,0,142
2023-01-07 13:00:00+00:00,14,0,95
2023-01-07 13:30:00+00:00,14,0,88
2023-01-07 14:00:00+00:00,14,0,82
2023-01-07 14:30:00+00:00,14,0,63
2023-01-07 15:00:00+00:00,14,0,44
2023-01-07 15:30:00+00:00,14,0,32
2023-01-07 16:00:00+00:00,14,0,5
2023-01-07 16:30:00+00:00,14,0,0
2023-01-07 17:00:00+00:00,13,0,0
2023-01-07 17:30:00+00:00,13,0,0
2023-01-07 18:00:00+00:00,13,0,0
2023-01-07 18:30:00+00:00,13,0,0
2023-01-07 19:00:00+00:00,12,0,0
2023-01-07 19:30:00+00:00,12,0,0
2023-01-07 20:00:00+00:00,12,0,0
2023-01-07 20:30:00+00:00,11,0,0
2023-01-07 21:00:00+00:00,11,0,0
2023-01-07 21:30:00+00:00,10,0,0
2023-01-07 22:00:00+00:00,11,0,0
2023-01-07 22:30:00+00:00,11,0,0
2023-01-07 23:00:00+00:00,11,0,0
2023-01-07 23:30:00+00:00,10,0,0
2023-01-08 00:00:00+00:00,10,0,0
2023-01-08 00:30:00+00:00,10,0,0
2023-01-08 01:00:00+00:00,10,0,0
2023-01-08 01:30:00+00:00,10,0,0
2023-01-08 02:00:00+00:00,10,0,0
2023-01-08 02:30:00+00:00,10,0,0
2023-01-08 03:00:00+00:00,9,0,0
2023-01-08 03:30:00+00:00,9,0,0
2023-01-08 04:00:00+00:00,9,0,0
2023-01-08 04:30:00+00:00,9,0,0
2023-01-08 05:00:00+00:00,10,0,0
